name,effect,power,type,Thru Gen 4?,accuracy,pp,target,priority,category,additional_effects,description
Octolock,EFFECT_OCTOLOCK,0,TYPE_FIGHTING,N,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Traps the foe to lower Def and Sp. Def each turn.
Bullet Punch,EFFECT_HIT,40,TYPE_STEEL,N,100,30,MOVE_TARGET_SELECTED,1,DAMAGE_CATEGORY_PHYSICAL,,Punches as fast as a bul- let. It always hits first.
Ice Shard,EFFECT_HIT,40,TYPE_ICE,N,100,30,MOVE_TARGET_SELECTED,1,DAMAGE_CATEGORY_PHYSICAL,,Hurls a chunk of ice that always strike first.
Shadow Sneak,EFFECT_HIT,40,TYPE_GHOST,N,100,30,MOVE_TARGET_SELECTED,1,DAMAGE_CATEGORY_PHYSICAL,,Extends the user's shadow to strike first.
Happy Hour,EFFECT_HAPPY_HOUR,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Doubles the amount of Prize Money received.
Powder,EFFECT_POWDER,0,TYPE_BUG,N,100,20,MOVE_TARGET_SELECTED,1,DAMAGE_CATEGORY_STATUS,,Damages the foe if it uses a Fire-type move.
Stun Spore,EFFECT_PARALYZE,0,TYPE_GRASS,N,75,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Scatters a powder that may paralyze the foe.
Laser Focus,EFFECT_LASER_FOCUS,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Guarantees the next move will be a critical hit.
Mist,EFFECT_MIST,0,TYPE_ICE,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Creates a mist that stops  reduction of abilities.
Agility,EFFECT_SPEED_UP_2,0,TYPE_PSYCHIC,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Relaxes the body to sharply boost Speed.
Safeguard,EFFECT_SAFEGUARD,0,TYPE_NORMAL,N,0,25,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,A mystical force prevents all status problems.
Light Screen,EFFECT_LIGHT_SCREEN,0,TYPE_PSYCHIC,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Creates a wall of light that lowers Sp. Atk damage.
Haze,EFFECT_HAZE,0,TYPE_ICE,N,0,30,MOVE_TARGET_ALL_BATTLERS,0,DAMAGE_CATEGORY_STATUS,,Creates a black haze that  eliminates all stat changes.
Minimize,EFFECT_MINIMIZE,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Minimizes the user's size to raise evasiveness.
Stockpile,EFFECT_STOCKPILE,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Charges up power for up to 3 turns.
Whirlwind,EFFECT_ROAR,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_SELECTED,-6,DAMAGE_CATEGORY_STATUS,,Blows away the foe with wind and ends the battle.
Roar,EFFECT_ROAR,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_SELECTED,-6,DAMAGE_CATEGORY_STATUS,,Makes the foe flee to end the battle.
Flash,EFFECT_ACCURACY_DOWN,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Looses a powerful blast of light that cuts accuracy.
Smokescreen,EFFECT_ACCURACY_DOWN,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Lowers the foe's accuracy using smoke, ink, etc."
Charm,EFFECT_ATTACK_DOWN_2,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Charms the foe and sharply reduces its Attack.
Sweet Scent,EFFECT_EVASION_DOWN,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,Allures the foe to reduce  evasiveness.
Follow Me,EFFECT_FOLLOW_ME,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_USER,3,DAMAGE_CATEGORY_STATUS,,Draws attention to make foes attack only the user.
Quick Guard,EFFECT_PROTECT,0,TYPE_FIGHTING,N,0,15,MOVE_TARGET_USER,3,DAMAGE_CATEGORY_STATUS,,Evades priority attacks for one turn.
Mat Block,EFFECT_MAT_BLOCK,0,TYPE_FIGHTING,N,0,15,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Evades damaging moves for one turn.
Absorb,EFFECT_ABSORB,20 35,TYPE_GRASS,N,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,An attack that absorbs half the damage inflicted.
Tail Glow,EFFECT_SPECIAL_ATTACK_UP_2,0,TYPE_BUG,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Flashes a light that sharply  raises Sp. Atk.
Will-O-Wisp,EFFECT_WILL_O_WISP,0,TYPE_FIRE,N,75,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Inflicts a burn on the foe with intense fire.
Water Gun,EFFECT_HIT,40,TYPE_WATER,N,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,Squirts water to attack the foe.
Powder Snow,EFFECT_HIT,40,TYPE_ICE,N,100,25,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_SPECIAL,MOVE_EFFECT_FREEZE_OR_FROSTBITE,Blasts the foewith a snowygust.
Coaching,EFFECT_COACHING,0,TYPE_FIGHTING,N,0,10,MOVE_TARGET_ALLY,0,DAMAGE_CATEGORY_STATUS,,Properly coaches allies to up their Attack and Defense.
Confusion,EFFECT_HIT,50 55,TYPE_PSYCHIC,N,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,MOVE_EFFECT_CONFUSION,A psychic attackthat may causeconfusion.
Poison Tail,EFFECT_HIT,50 65,TYPE_POISON,N,100,25 15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,MOVE_EFFECT_POISON,Has a highcritical-hit ratio. May alsopoison.
Topsy-Turvy,EFFECT_TOPSY_TURVY,0,TYPE_DARK,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Swaps all stat changes that  affect the target.
Burning Bulwark,EFFECT_PROTECT,0,TYPE_FIRE,N,0,10,MOVE_TARGET_USER,4,DAMAGE_CATEGORY_STATUS,,"Evades attack, and burns the foe if struck."
Heart Stamp,EFFECT_HIT,60,TYPE_PSYCHIC,N,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,MOVE_EFFECT_FLINCH,A sudden blowafter a cute act.May causeflinching.
Helping Hand,EFFECT_HELPING_HAND,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_ALLY,5,DAMAGE_CATEGORY_STATUS,,Boosts the power of the recipient's moves.
Air Cutter,EFFECT_HIT,55 65,TYPE_FLYING,N,95,25,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_SPECIAL,,Hacks with razorlike wind.  High critical-hit ratio.
Razor Leaf,EFFECT_HIT,55 60,TYPE_GRASS,N,95,25,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_PHYSICAL,,Cuts the enemy with leaves. High critical-hit ratio.
Steel Wing,EFFECT_HIT,70,TYPE_STEEL,N,90 95,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,       MOVE_EFFECT_DEF_PLUS_1,Strikes the foewith hard wingsspread wide.
Assist,EFFECT_ASSIST,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_DEPENDS,0,DAMAGE_CATEGORY_STATUS,,Attacks randomly with one of the partner's moves.
Thunder Wave,EFFECT_PARALYZE,0,TYPE_ELECTRIC,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,A weak jolt of electricity that paralyzes the foe.
Detect,EFFECT_PROTECT,0,TYPE_FIGHTING,N,0,5,MOVE_TARGET_USER,3,DAMAGE_CATEGORY_STATUS,,"Evades attack, but may fail if used in succession."
Air Slash,EFFECT_HIT,75,TYPE_FLYING,N,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"
MOVE_EFFECT_FLINCH",Attacks with ablade of air. Maycause flinching.
Refresh,EFFECT_REFRESH,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"Heals poisoning, paralysis, or a burn."
Petal Dance,EFFECT_HIT,70 120,TYPE_GRASS,N,100,20 15,MOVE_TARGET_RANDOM,0,DAMAGE_CATEGORY_SPECIAL,"
MOVE_EFFECT_THRASH",A rampage of 2 to3 turns thatconfuses the user.
Camouflage,EFFECT_CAMOUFLAGE,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Alters the Pokémon's type  depending on the location.
No Retreat,EFFECT_NO_RETREAT,0,TYPE_FIGHTING,N,0,5,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Raises all of the user's stats but prevents escape.
Teeter Dance,EFFECT_CONFUSE,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_FOES_AND_ALLY,0,DAMAGE_CATEGORY_STATUS,,Confuses all Pokémon on the scene.
Charge,EFFECT_CHARGE,0,TYPE_ELECTRIC,N,100,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Charges power to boost the electric move used next.
Taunt,EFFECT_TAUNT,0,TYPE_DARK,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Taunts the foe into only using attack moves.
Tickle,EFFECT_TICKLE,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Makes the foe laugh to lower Attack and Defense.
Captivate,EFFECT_CAPTIVATE,0,TYPE_NORMAL,N,100,20,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,Makes the opposite gender sharply reduce its Sp. Atk.
Supersonic,EFFECT_CONFUSE,0,TYPE_NORMAL,N,55 75,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Emits bizarre sound waves that may confuse the foe.
Disable,EFFECT_DISABLE,0,TYPE_NORMAL,N,80,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Psychically disables one of  the foe's moves.
Recover,EFFECT_RESTORE_HP,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Recovers up to half the user's maximum HP.
Pain Split,EFFECT_PAIN_SPLIT,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Adds the user and foe's HP, then shares them equally."
Me First,EFFECT_ME_FIRST,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Executes the foe's attack with greater power.
Electrify,EFFECT_ELECTRIFY,0,TYPE_ELECTRIC,N,0,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Electrifies the foe, making its next move Electric-type."
Fake Tears,EFFECT_SPECIAL_DEFENSE_DOWN_2,0,TYPE_DARK,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Feigns crying to sharply lower the foe's Sp. Def.
Copycat,EFFECT_COPYCAT,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_DEPENDS,0,DAMAGE_CATEGORY_STATUS,,The user mimics the last move used by a foe.
Play Nice,EFFECT_ATTACK_DOWN,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Befriend the foe, lowering its Attack without fail."
Ingrain,EFFECT_INGRAIN,0,TYPE_GRASS,N,100,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Lays roots that restore HP. The user can't switch out.
Confide,EFFECT_SPECIAL_ATTACK_DOWN,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Shares a secret with the foe, lowering Sp. Atk."
Tearful Look,EFFECT_NOBLE_ROAR,0,TYPE_NORMAL,N,0,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"The user tears up, dropping Attack and Sp. Attack."
Attract,EFFECT_ATTRACT,0,TYPE_NORMAL,N,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Makes the opposite gender less likely to attack.
Parting Shot,EFFECT_PARTING_SHOT,0,TYPE_DARK,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Lowers the foe's Attack and Sp. Atk, then switches out."
Simple Beam,EFFECT_SIMPLE_BEAM,0,TYPE_NORMAL,N,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,A beam that changes the foe's ability to Simple.
Entrainment,EFFECT_ENTRAINMENT,0,TYPE_NORMAL,N,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Makes the foe mimic the user, gaining its ability."
Soak,EFFECT_SOAK,0,TYPE_WATER,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Sprays water at the foe making it Water-type.
Trick-or-Treat,EFFECT_THIRD_TYPE,0,TYPE_GHOST,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Goes trick-or-treating  making the foe Ghost-type.
Forest's Curse,EFFECT_THIRD_TYPE,0,TYPE_GRASS,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Puts a curse on the foe making the foe Grass-type.
Nasty Plot,EFFECT_SPECIAL_ATTACK_UP_2,0,TYPE_DARK,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Thinks bad thoughts to  sharply boost Sp. Atk.
Venom Drench,EFFECT_VENOM_DRENCH,0,TYPE_POISON,N,100,20,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,"Lowers the Attack, Sp. Atk and Speed of a poisoned foe."
Rage Powder,EFFECT_FOLLOW_ME,0,TYPE_BUG,N,0,20,MOVE_TARGET_USER,3,DAMAGE_CATEGORY_STATUS,,Scatters powder to make foes attack only the user.
Toxic Thread,EFFECT_TOXIC_THREAD,0,TYPE_POISON,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Attacks with a thread that  poisons and drops Speed.
Magic Powder,EFFECT_SOAK,0,TYPE_PSYCHIC,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Magic powder changes the target into a Psychic-type.
Low Kick,EFFECT_LOW_KICK,1,TYPE_FIGHTING,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,A kick that inflicts more  damage on heavier foes.
Counter,EFFECT_COUNTER,1,TYPE_FIGHTING,N,100,20,MOVE_TARGET_DEPENDS,-5,DAMAGE_CATEGORY_PHYSICAL,,Retaliates any physical hit with double the power.
Seismic Toss,EFFECT_LEVEL_DAMAGE,1,TYPE_FIGHTING,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,Inflicts damage identical to the user's level.
Swagger,EFFECT_SWAGGER,0,TYPE_NORMAL,N,90,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Confuses the foe, but also sharply raises Attack."
Sing,EFFECT_SLEEP,0,TYPE_NORMAL,N,55 65,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,A soothing song lulls the foe into a deep slumber.
Mirror Coat,EFFECT_MIRROR_COAT,1,TYPE_PSYCHIC,N,100,20,MOVE_TARGET_DEPENDS,-5,DAMAGE_CATEGORY_SPECIAL,,Counters the foe's special attack at double the power.
Grass Knot,EFFECT_LOW_KICK,1,TYPE_GRASS,N,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,A snare attack that does more damage to heavier foes.
Reversal,EFFECT_FLAIL,1,TYPE_FIGHTING,N,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,Inflicts more damage when the user's HP is down.
Water Shuriken,EFFECT_MULTI_HIT,15,TYPE_WATER,N,100,20,MOVE_TARGET_SELECTED,1,DAMAGE_CATEGORY_PHYSICAL,,Throws 2 to 5 stars that are sure to strike first.
Torment,EFFECT_TORMENT,0,TYPE_DARK,N,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Torments the foe and stops  successive use of a move.
Double Team,EFFECT_EVASION_UP,0,TYPE_NORMAL,N,0,15,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Creates illusory copies to raise evasiveness.
Magnetic Flux,EFFECT_MAGNETIC_FLUX,0,TYPE_ELECTRIC,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Boosts the defenses of those with Plus or Minus.
