name,effect,power,type,accuracy,pp,target,priority,category,additional_effects,description
Swords Dance,EFFECT_ATTACK_UP_2,0,TYPE_NORMAL,0,B_UPDATED_MOVE_DATA >= GEN_6 ? 20 : 30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""A fighting dance\n""             ""that sharply\n""             ""raises Attack."""
Cut,EFFECT_HIT,60,TYPE_BUG,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Cuts the foe with\n""             ""sharp scythes,\n""             ""claws, etc."""
Gust,EFFECT_HIT,40,TYPE_FLYING,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""Strikes the foe\n""             ""with a gust of\n""             ""wind whipped up by\n""             ""wings."""
Wing Attack,EFFECT_HIT,60,TYPE_FLYING,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Strikes the foe\n""             ""with wings spread\n""             ""wide."""
Whirlwind,EFFECT_ROAR,0,TYPE_NORMAL,B_UPDATED_MOVE_DATA >= GEN_6 ? 0 : 100,20,MOVE_TARGET_SELECTED,-6,DAMAGE_CATEGORY_STATUS,,"""Blows away the foe\n""             ""with wind and ends\n""             ""the battle."""
Fly,EFFECT_SEMI_INVULNERABLE,B_UPDATED_MOVE_DATA >= GEN_4 ? 90 : 70,TYPE_FLYING,95,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Flies up on the\n""             ""first turn, then\n""             ""strikes the next\n""             ""turn."""
Bind,EFFECT_HIT,20,TYPE_NORMAL,B_UPDATED_MOVE_DATA >= GEN_5 ? 85 : 75,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_WRAP","""Binds and squeezes\n""             ""the foe for\n""             ""2 to 5 turns."""
Slam,EFFECT_HIT,80,TYPE_DRAGON,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Slams the foe with\n""             ""a long tail, vine,\n""             ""etc."""
Vine Whip,EFFECT_HIT,45,TYPE_GRASS,100,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Strikes the foe\n""             ""with slender,\n""             ""whiplike vines."""
Stomp,EFFECT_HIT,65,TYPE_NORMAL,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_FLINCH","""Stomps the enemy\n""             ""with a big foot.\n""             ""May flinch."""
Double Kick,EFFECT_HIT,30,TYPE_FIGHTING,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A double-kicking\n""             ""attack that\n""             ""strikes the foe\n""             ""twice."""
Mega Kick,EFFECT_HIT,120,TYPE_NORMAL,85,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""An extremely\n""             ""powerful kick\n""             ""intense force."""
Jump Kick,EFFECT_RECOIL_IF_MISS,70,TYPE_FIGHTING,95,B_UPDATED_MOVE_DATA >= GEN_5 ? 10 : 25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A strong jumping\n""             ""kick. May miss\n""             ""hurt the kicker."""
Rolling Kick,EFFECT_HIT,60,TYPE_FIGHTING,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_FLINCH","""A fast kick\n""             ""delivered from\n""             ""a rapid spin."""
Sand Attack,EFFECT_ACCURACY_DOWN,0,TYPE_GROUND,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Reduces the foe's\n""             ""accuracy by\n""             ""hurling sand in its\n""             ""face."""
Headbutt,EFFECT_HIT,70,TYPE_NORMAL,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_FLINCH","""A ramming attack\n""             ""that may cause\n""             ""flinching."""
Horn Attack,EFFECT_HIT,65,TYPE_NORMAL,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Jabs the foe with\n""             ""sharp horns."""
Fury Attack,EFFECT_MULTI_HIT,18,TYPE_NORMAL,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Jabs the foe 2 to 5\n""             ""times with sharp\n""             ""horns, etc."""
Horn Drill,EFFECT_OHKO,1,TYPE_NORMAL,30,5,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A one-hit KO attack\n""             ""that uses a horn\n""             ""like a drill."""
Tackle,EFFECT_HIT,40,TYPE_NORMAL,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Charges the foe\n""             ""with a full-body\n""             ""tackle."""
Body Slam,EFFECT_HIT,85,TYPE_NORMAL,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_PARALYSIS","""A full-body slam\n""             ""that may cause\n""             ""paralysis."""
Wrap,EFFECT_HIT,20,TYPE_NORMAL,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_WRAP","""Wraps the foe\n""             ""BINDING_TURNS""             ""times."""
Take Down,EFFECT_RECOIL,90,TYPE_NORMAL,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A reckless charge\n""             ""attack that also\n""             ""hurts the user."""
Thrash,EFFECT_HIT,B_UPDATED_MOVE_DATA >= GEN_5 ? 120 : 90,TYPE_NORMAL,100,B_UPDATED_MOVE_DATA >= GEN_5 ? 10 : 20,MOVE_TARGET_RANDOM,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_THRASH","""A rampage of 2 to 3\n""             ""turns that\n""             ""confuses the user."""
Double-Edge,EFFECT_RECOIL,120,TYPE_NORMAL,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A life-risking\n""             ""tackle that also\n""             ""hurts the user."""
Tail Whip,EFFECT_DEFENSE_DOWN,0,TYPE_NORMAL,100,30,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,"""Wags the tail to\n""             ""lower the foe's\n""             ""Defense."""
Poison Sting,EFFECT_HIT,35,TYPE_POISON,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_POISON","""A toxic attack with\n""             ""barbs, etc., that\n""             ""may poison."""
Twineedle,EFFECT_HIT,40,TYPE_BUG,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_POISON","""Stingers on the\n""             ""forelegs jab the\n""             ""foe twice."""
Pin Missile,EFFECT_MULTI_HIT,22,TYPE_BUG,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Sharp pins are\n""             ""fired to strike 2\n""             ""to 5 times."""
Leer,EFFECT_DEFENSE_DOWN,0,TYPE_NORMAL,100,30,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,"""Frightens the foe\n""             ""with a leer to\n""             ""lower Defense."""
Bite,EFFECT_HIT,60,TYPE_DARK,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_FLINCH","""Bites with vicious\n""             ""fangs. May cause\n""             ""flinching."""
Growl,EFFECT_ATTACK_DOWN,0,TYPE_NORMAL,100,40,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,"""Growls cutely to\n""             ""reduce the foe's\n""             ""Attack."""
Roar,EFFECT_ROAR,0,TYPE_NORMAL,B_UPDATED_MOVE_DATA >= GEN_6 ? 0 : 100,20,MOVE_TARGET_SELECTED,-6,DAMAGE_CATEGORY_STATUS,,"""Makes the foe flee\n""             ""to end the battle."""
Sing,EFFECT_SLEEP,0,TYPE_NORMAL,55,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""A soothing song\n""             ""lulls the foe into\n""             ""a deep slumber."""
Supersonic,EFFECT_CONFUSE,0,TYPE_NORMAL,55,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Emits bizarre sound\n""             ""waves that may\n""             ""confuse the foe."""
Sonic Boom,EFFECT_FIXED_DAMAGE_ARG,1,TYPE_NORMAL,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""Launches shock\n""             ""waves that always\n""             ""inflict 20 HP\n""             ""damage."""
Disable,EFFECT_DISABLE,0,TYPE_NORMAL,55,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Psychically\n""             ""disables one\n""             ""of the foe's\n""             ""moves."""
Acid,EFFECT_HIT,55,TYPE_POISON,95,30,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = B_UPDATED_MOVE_DATA >= GEN_4 ? MOVE_EFFECT_SP_DEF_MINUS_1 : MOVE_EFFECT_DEF_MINUS_1","""Sprays a hide-melting acid.\n""             ""May lower Sp. Def."""
Ember,EFFECT_HIT,40,TYPE_FIRE,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_BURN","""A weak fire attack\n""             ""that may inflict a\n""             ""burn."""
Flamethrower,EFFECT_HIT,B_UPDATED_MOVE_DATA >= GEN_6 ? 90 : 95,TYPE_FIRE,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_BURN","""A powerful fire\n""             ""attack that may\n""             ""inflict a burn."""
Mist,EFFECT_MIST,0,TYPE_ICE,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Creates a mist that\n""             ""stops reduction of\n""             ""abilities."""
Water Gun,EFFECT_HIT,40,TYPE_WATER,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""Squirts water to\n""             ""attack the foe."""
Hydro Pump,EFFECT_HIT,B_UPDATED_MOVE_DATA >= GEN_6 ? 110 : 120,TYPE_WATER,85,5,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""Blasts water at\n""             ""high power to\n""             ""strike the foe."""
Surf,EFFECT_HIT,B_UPDATED_MOVE_DATA >= GEN_6 ? 90 : 75,TYPE_WATER,100,15,B_UPDATED_MOVE_DATA >= GEN_4 ? MOVE_TARGET_FOES_AND_ALLY : MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_SPECIAL,,"""Creates a huge\n""             ""wave, then crashes\n""             ""it down on the foe."""
Ice Beam,EFFECT_HIT,B_UPDATED_MOVE_DATA >= GEN_6 ? 90 : 95,TYPE_ICE,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            // The following effect is also relevant in battle_Pike.c
            // If you cherry-pick this to use something other than the config, make sure to update it there too
            .moveEffect = MOVE_EFFECT_FREEZE_OR_FROSTBITE","""Blasts the foe\n""             ""with an icy beam.\n""             ""May freeze it."""
Blizzard,B_BLIZZARD_HAIL >= GEN_4 ? EFFECT_BLIZZARD : EFFECT_HIT,B_UPDATED_MOVE_DATA >= GEN_6 ? 110 : 120,TYPE_ICE,85,5,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_FREEZE_OR_FROSTBITE","""Hits the foe with\n""             ""an icy storm.\n""             ""May freeze it."""
Psybeam,EFFECT_HIT,65,TYPE_PSYCHIC,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_CONFUSION","""Fires a peculiar\n""             ""ray that may\n""             ""confuse the foe."""
Bubble Beam,EFFECT_HIT,65,TYPE_WATER,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_SPD_MINUS_1","""Forcefully sprays\n""             ""bubbles that may\n""             ""lower Speed."""
Aurora Beam,EFFECT_HIT,65,TYPE_ICE,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_ATK_MINUS_1","""Fires a rainbow-\n""             ""colored beam that\n""             ""may lower Attack."""
Hyper Beam,EFFECT_HIT,150,TYPE_NORMAL,90,5,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_RECHARGE",
Peck,EFFECT_HIT,35,TYPE_FLYING,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Attacks the foe\n""             ""with a jabbing\n""             ""beak, etc."""
Drill Peck,EFFECT_HIT,80,TYPE_FLYING,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A corkscrewing\n""             ""attack with the\n""             ""beak acting as a\n""             ""drill."""
Submission,EFFECT_HIT,95,TYPE_FIGHTING,100,B_UPDATED_MOVE_DATA >= GEN_6 ? 20 : 25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A reckless\n""             ""body slam that\n""             ""also hurts the\n""             ""user."""
Low Kick,EFFECT_LOW_KICK,1,TYPE_FIGHTING,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A kick that\n""             ""inflicts more\n""             ""damage on\n""             ""heavier foes."""
Counter,EFFECT_COUNTER,1,TYPE_FIGHTING,100,20,MOVE_TARGET_DEPENDS,-5,DAMAGE_CATEGORY_PHYSICAL,,"""Retaliates any\n""             ""physical hit with\n""             ""double the power."""
Seismic Toss,EFFECT_LEVEL_DAMAGE,1,TYPE_FIGHTING,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Inflicts damage\n""             ""identical to the\n""             ""user's level."""
Strength,EFFECT_HIT,80,TYPE_NORMAL,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Builds enormous\n""             ""power, then slams\n""             ""the foe."""
Absorb,EFFECT_ABSORB,35,TYPE_GRASS,100,B_UPDATED_MOVE_DATA >= GEN_4 ? 25 : 20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""An attack that\n""             ""absorbs half the\n""             ""damage inflicted."""
Mega Drain,EFFECT_ABSORB,60,TYPE_GRASS,100,B_UPDATED_MOVE_DATA >= GEN_4 ? 15 : 10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,
Leech Seed,EFFECT_LEECH_SEED,0,TYPE_GRASS,90,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Plants a seed on\n""             ""the foe to steal\n""             ""HP on every turn."""
Growth,EFFECT_GROWTH,0,TYPE_NORMAL,0,B_UPDATED_MOVE_DATA >= GEN_6 ? 20 : 40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Forces the body\n""             ""to grow."""
Razor Leaf,EFFECT_HIT,60,TYPE_GRASS,95,25,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_PHYSICAL,,"""Cuts the enemy with\n""             ""leaves. High\n""             ""critical-hit ratio."""
Solar Beam,EFFECT_SOLAR_BEAM,120,TYPE_GRASS,100,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""Absorbs light in\n""             ""one turn, then\n""             ""attacks next turn."""
Poison Powder,EFFECT_POISON,0,TYPE_POISON,75,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Scatters a toxic\n""             ""powder that may\n""             ""poison the foe."""
Stun Spore,EFFECT_PARALYZE,0,TYPE_GRASS,75,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Scatters a powder\n""             ""that may paralyze\n""             ""the foe."""
Sleep Powder,EFFECT_SLEEP,0,TYPE_GRASS,75,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Scatters a powder\n""             ""that may cause the\n""             ""foe to sleep."""
Petal Dance,EFFECT_HIT,70,TYPE_GRASS,100,15,MOVE_TARGET_RANDOM,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_THRASH","""A rampage of 2 to 3\n""             ""turns that\n""             ""confuses the user."""
String Shot,B_UPDATED_MOVE_DATA >= GEN_6 ? EFFECT_SPEED_DOWN_2 : EFFECT_SPEED_DOWN,0,TYPE_BUG,100,40,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,"""Binds the foe with\n""             ""string to reduce\n""             ""its Speed."""
Dragon Rage,EFFECT_FIXED_DAMAGE_ARG,1,TYPE_DRAGON,100,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""Launches shock\n""             ""waves that always\n""             ""inflict 40 HP\n""             ""damage."""
Fire Spin,EFFECT_HIT,35,TYPE_FIRE,90,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_WRAP","""Traps the foe in a\n""             ""ring of fire for\n""             ""2 to 5 turns."""
Thunder Shock,EFFECT_HIT,40,TYPE_ELECTRIC,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_PARALYSIS","""An electrical\n""             ""attack that may\n""             ""paralyze the foe."""
Thunderbolt,EFFECT_HIT,B_UPDATED_MOVE_DATA >= GEN_6 ? 90 : 95,TYPE_ELECTRIC,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_PARALYSIS","""A strong electrical\n""             ""attack that may\n""             ""paralyze the foe."""
Thunder Wave,EFFECT_PARALYZE,0,TYPE_ELECTRIC,B_UPDATED_MOVE_DATA >= GEN_7 ? 90 : 100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""A weak jolt of\n""             ""electricity that\n""             ""paralyzes the foe."""
Thunder,EFFECT_THUNDER,B_UPDATED_MOVE_DATA >= GEN_6 ? 110 : 120,TYPE_ELECTRIC,85,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_PARALYSIS","""A lightning attack\n""             ""that may cause\n""             ""paralysis."""
Rock Throw,EFFECT_HIT,50,TYPE_ROCK,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Throws small rocks\n""             ""to strike the foe."""
Earthquake,EFFECT_EARTHQUAKE,100,TYPE_GROUND,100,10,MOVE_TARGET_FOES_AND_ALLY,0,DAMAGE_CATEGORY_PHYSICAL,,"""A powerful quake,\n""             ""but has no effect\n""             ""on flying foes."""
Fissure,EFFECT_OHKO,1,TYPE_GROUND,30,5,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A one-hit KO move\n""             ""that drops the foe\n""             ""in a fissure."""
Dig,EFFECT_SEMI_INVULNERABLE,B_UPDATED_MOVE_DATA >= GEN_4 ? 80 : 60,TYPE_GROUND,100,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Digs underground\n""             ""the first turn and\n""             ""strikes next turn."""
Toxic,EFFECT_TOXIC,0,TYPE_POISON,B_UPDATED_MOVE_DATA >= GEN_5 ? 90 : 85,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Poisons the foe\n""             ""with intensifying\n""             ""toxins."""
Confusion,EFFECT_HIT,55,TYPE_PSYCHIC,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_CONFUSION","""A psychic attack\n""             ""that may cause\n""             ""confusion."""
Psychic,EFFECT_HIT,95,TYPE_PSYCHIC,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_SP_DEF_MINUS_1","""A powerful psychic\n""             ""attack that may\n""             ""lower Sp. Def."""
Hypnosis,EFFECT_SLEEP,0,TYPE_PSYCHIC,65,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""A hypnotizing move\n""             ""that may induce\n""             ""sleep."""
Meditate,EFFECT_ATTACK_UP,0,TYPE_PSYCHIC,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Meditates in a\n""             ""peaceful fashion\n""             ""to raise Attack."""
Agility,EFFECT_SPEED_UP_2,0,TYPE_PSYCHIC,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Relaxes the body to\n""             ""sharply boost\n""             ""Speed."""
Quick Attack,EFFECT_HIT,40,TYPE_NORMAL,100,30,MOVE_TARGET_SELECTED,1,DAMAGE_CATEGORY_PHYSICAL,,"""An extremely fast\n""             ""attack that always\n""             ""strikes first."""
Rage,EFFECT_RAGE,20,TYPE_NORMAL,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Raises the user's\n""             ""Attack every time\n""             ""it is hit."""
Teleport,EFFECT_TELEPORT,0,TYPE_PSYCHIC,0,20,MOVE_TARGET_USER,-6,DAMAGE_CATEGORY_STATUS,,"""A psychic move for\n""             ""fleeing from\n""             ""battle instantly."""
Night Shade,EFFECT_LEVEL_DAMAGE,1,TYPE_GHOST,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,"""Inflicts damage\n""             ""identical to the\n""             ""user's level."""
Mimic,EFFECT_MIMIC,0,TYPE_NORMAL,0,10,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Copies a move used\n""             ""by the foe during\n""             ""one battle."""
Screech,EFFECT_DEFENSE_DOWN_2,0,TYPE_NORMAL,90,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"""Emits a screech to\n""             ""sharply reduce the\n""             ""foe's Defense."""
Double Team,EFFECT_EVASION_UP,0,TYPE_NORMAL,0,15,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Creates illusory\n""             ""copies to raise\n""             ""evasiveness."""
Recover,EFFECT_RESTORE_HP,0,TYPE_NORMAL,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Recovers up to half\n""             ""the user's maximum\n""             ""HP."""
Harden,EFFECT_DEFENSE_UP,0,TYPE_NORMAL,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Stiffens the body's\n""             ""muscles to raise\n""             ""Defense."""
Minimize,EFFECT_MINIMIZE,0,TYPE_NORMAL,0,B_UPDATED_MOVE_DATA >= GEN_6 ? 10 : 20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"""Minimizes the\n""             ""user's size to\n""             ""raise evasiveness."""
