Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level,
Burmy,BURMY_SANDY,40,29,45,36,29,45,224,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,WORMADAM_SANDY,EVO_LEVEL_FEMALE,20,
Burmy,BURMY_SANDY,40,29,45,36,29,45,224,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,MOTHIM_SANDY,EVO_LEVEL_MALE,20,
Burmy,BURMY_TRASH,40,29,45,36,29,45,224,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,WORMADAM_TRASH,EVO_LEVEL_FEMALE,20,
Burmy,BURMY_TRASH,40,29,45,36,29,45,224,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,MOTHIM_TRASH,EVO_LEVEL_MALE,20,
Caterpie,CATERPIE,45,30,35,45,25,20,200,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,METAPOD,EVO_LEVEL,7,
Igglybuff,IGGLYBUFF,90,30,20,15,40,20,215,UNKNOWN,UNKNOWN,GROWTH_FAST,JIGGLYPUFF,EVO_FRIENDSHIP,0,
Voltorb,VOLTORB,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,ELECTRODE,EVO_LEVEL,30,
Voltorb,VOLTORB_HISUI,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_GRASS,GROWTH_MEDIUM_FAST,ELECTRODE_HISUI,EVO_ITEM,ITEM_LEAF_STONE,
Smoochum,SMOOCHUM,45,30,15,65,85,65,305,TYPE_ICE,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,JYNX,EVO_LEVEL,30,
Hoothoot,HOOTHOOT,60,30,30,50,40,60,270,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,NOCTOWL,EVO_LEVEL,20,"+5 to Atk, SpAtk, +15 to def"
Ledyba,LEDYBA,40,30,30,55,40,80,275,TYPE_BUG,TYPE_FLYING,GROWTH_FAST,LEDIAN,EVO_LEVEL,18,"+15 to Atk, +5 to Def, +5 to SpAtk"
Zigzagoon,ZIGZAGOON,38,30,41,60,30,41,240,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,LINOONE,EVO_LEVEL,20,+10 to atk
Zigzagoon,ZIGZAGOON_GALAR,38,30,41,60,30,41,240,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,LINOONE_GALAR,EVO_LEVEL,20,"+19 to def and spdef, +2 to HP, +15 to Atk, +5 to speed"
Lotad,LOTAD,40,30,40,35,40,60,245,TYPE_WATER,TYPE_GRASS,GROWTH_MEDIUM_SLOW,LOMBRE,EVO_LEVEL,14,"+20 to spatk, +10 to spdef"
Wingull,WINGULL,40,30,30,85,55,30,270,TYPE_WATER,TYPE_FLYING,GROWTH_MEDIUM_FAST,PELIPPER,EVO_LEVEL,25,"+10 to atk, +5 to spatk, +10 to def, +5 to HP"
Chingling,CHINGLING,45,30,50,45,65,50,285,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_FAST,CHIMECHO,EVO_FRIENDSHIP,0,"+10 to spdef, +5 to spatk"
Luvdisc,LUVDISC,43,30,55,97,40,65,330,TYPE_WATER,TYPE_WATER,GROWTH_FAST,NONE,NONE,0,
Kricketot,KRICKETOT,45,30,45,30,30,45,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_SLOW,KRICKETUNE,EVO_LEVEL,10,"+10 to atk, +10 to speed, +10 to spatk, +10 to def and spdef"
Combee,COMBEE,30,30,42,70,30,42,244,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_SLOW,VESPIQUEN,EVO_LEVEL_FEMALE,21,"+10 to atk and spatk, +10 to def and spdef, +5 to speed"
Wobbuffet,WOBBUFFET,190,33,58,33,33,58,405,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Weedle,WEEDLE,40,35,30,50,25,20,200,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,KAKUNA,EVO_LEVEL,7,
Meowth,MEOWTH_ALOLA,40,35,35,90,50,40,290,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,PERSIAN_ALOLA,EVO_FRIENDSHIP,0,+5 to atk and def
Kadabra,KADABRA,40,35,30,105,120,70,400,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_LEVEL,42,
Kadabra,KADABRA,40,35,30,105,120,70,400,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_ITEM,ITEM_LINKING_CORD,
Magnemite,MAGNEMITE,25,35,70,45,95,55,325,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNETON,EVO_LEVEL,30,
Gastly,GASTLY,30,35,30,80,100,35,310,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,HAUNTER,EVO_LEVEL,25,
Tyrogue,TYROGUE,35,35,35,35,35,35,210,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,HITMONCHAN,EVO_LEVEL_ATK_LT_DEF,20,
Tyrogue,TYROGUE,35,35,35,35,35,35,210,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,HITMONLEE,EVO_LEVEL_ATK_GT_DEF,20,
Tyrogue,TYROGUE,35,35,35,35,35,35,210,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,HITMONTOP,EVO_LEVEL_ATK_EQ_DEF,20,
Ledian,LEDIAN,55,35,50,85,55,110,390,TYPE_BUG,TYPE_FLYING,GROWTH_FAST,NONE,NONE,0,+30 to atk
Silcoon,SILCOON,70,35,55,15,25,25,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,BEAUTIFLY,EVO_LEVEL,10,
Cascoon,CASCOON,70,35,55,15,25,25,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,DUSTOX,EVO_LEVEL,10,
Kirlia,KIRLIA,40,35,35,55,70,55,290,UNKNOWN,UNKNOWN,GROWTH_SLOW,GARDEVOIR,EVO_LEVEL,30,
Kirlia,KIRLIA,40,35,35,55,70,55,290,UNKNOWN,UNKNOWN,GROWTH_SLOW,GALLADE,EVO_ITEM_MALE,ITEM_DAWN_STONE,
Surskit,SURSKIT,40,35,35,65,55,55,285,TYPE_BUG,TYPE_WATER,GROWTH_MEDIUM_FAST,MASQUERAIN,EVO_LEVEL,22,
Budew,BUDEW,40,35,35,55,50,70,285,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,ROSELIA,EVO_FRIENDSHIP,0,
Cherubi,CHERUBI,45,35,45,35,62,53,275,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_FAST,CHERRIM_OVERCAST,EVO_LEVEL,25,
Chinchou,CHINCHOU,75,38,38,67,56,56,330,TYPE_WATER,TYPE_ELECTRIC,GROWTH_SLOW,LANTURN,EVO_LEVEL,27,
Pichu,PICHU,20,40,15,60,35,35,205,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,PIKACHU,EVO_FRIENDSHIP,0,
Tentacool,TENTACOOL,40,40,35,70,50,100,335,TYPE_WATER,TYPE_POISON,GROWTH_SLOW,TENTACRUEL,EVO_LEVEL,30,
Exeggcute,EXEGGCUTE,60,40,80,40,60,45,325,TYPE_GRASS,TYPE_PSYCHIC,GROWTH_SLOW,EXEGGUTOR,EVO_ITEM,ITEM_LEAF_STONE,
Exeggcute,EXEGGCUTE,60,40,80,40,60,45,325,TYPE_GRASS,TYPE_PSYCHIC,GROWTH_SLOW,EXEGGUTOR_ALOLA,EVO_NONE,0,
Horsea,HORSEA,35,40,70,60,70,25,300,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,SEADRA,EVO_LEVEL,32,
Omanyte,OMANYTE,35,40,100,35,90,55,355,TYPE_ROCK,TYPE_WATER,GROWTH_MEDIUM_FAST,OMASTAR,EVO_LEVEL,40,
Togetic,TOGETIC,55,40,85,40,80,105,405,UNKNOWN,UNKNOWN,GROWTH_FAST,TOGEKISS,EVO_ITEM,ITEM_SHINY_STONE,+10 to atk and speed
Mareep,MAREEP,55,40,55,35,65,55,305,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,FLAAFFY,EVO_LEVEL,15,
Hoppip,HOPPIP,35,40,40,50,40,55,260,TYPE_GRASS,TYPE_FLYING,GROWTH_MEDIUM_SLOW,SKIPLOOM,EVO_LEVEL,18,
Sunkern,SUNKERN,40,40,40,40,40,40,240,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,SUNFLORA,EVO_ITEM,ITEM_SUN_STONE,
Slugma,SLUGMA,40,40,45,20,70,45,260,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,MAGCARGO,EVO_LEVEL,38,
Mantine,MANTINE,65,40,70,70,80,140,465,TYPE_WATER,TYPE_FLYING,GROWTH_SLOW,NONE,NONE,0,"+10 to atk, +5 to def"
Meditite,MEDITITE,40,40,55,60,40,55,290,TYPE_FIGHTING,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,MEDICHAM,EVO_LEVEL,37,+5 to atk and spatk
Minun,MINUN,60,40,50,95,75,85,405,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Swablu,SWABLU,45,40,60,50,40,75,310,TYPE_NORMAL,TYPE_FLYING,GROWTH_ERRATIC,ALTARIA,EVO_LEVEL,35,
Baltoy,BALTOY,40,40,55,55,40,70,300,TYPE_GROUND,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,CLAYDOL,EVO_LEVEL,36,
Duskull,DUSKULL,25,40,90,25,30,90,300,TYPE_GHOST,TYPE_GHOST,GROWTH_FAST,DUSCLOPS,EVO_LEVEL,37,
Spheal,SPHEAL,70,40,55,25,55,55,300,TYPE_ICE,TYPE_WATER,GROWTH_MEDIUM_SLOW,SEALEO,EVO_LEVEL,32,
Vulpix,VULPIX,39,41,40,65,50,65,300,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NINETALES,EVO_ITEM,ITEM_FIRE_STONE,
Vulpix,VULPIX_ALOLA,38,41,40,65,50,65,299,TYPE_ICE,TYPE_ICE,GROWTH_MEDIUM_FAST,NINETALES_ALOLA,EVO_ITEM,ITEM_ICE_STONE,+1 to HP
Lileep,LILEEP,66,41,77,23,61,87,355,TYPE_ROCK,TYPE_GRASS,GROWTH_ERRATIC,CRADILY,EVO_LEVEL,40,
Shieldon,SHIELDON,30,42,118,30,42,88,350,TYPE_ROCK,TYPE_STEEL,GROWTH_ERRATIC,BASTIODON,EVO_LEVEL,30,
Gulpin,GULPIN,70,43,53,40,43,53,302,TYPE_POISON,TYPE_POISON,GROWTH_FLUCTUATING,SWALOT,EVO_LEVEL,26,
Butterfree,BUTTERFREE,60,45,50,70,80,80,385,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Pidgey,PIDGEY,40,45,40,56,35,35,251,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,PIDGEOTTO,EVO_LEVEL,18,
Clefairy,CLEFAIRY,70,45,48,35,60,65,323,UNKNOWN,UNKNOWN,GROWTH_FAST,CLEFABLE,EVO_ITEM,ITEM_MOON_STONE,
Jigglypuff,JIGGLYPUFF,115,45,20,20,45,25,270,UNKNOWN,UNKNOWN,GROWTH_FAST,WIGGLYTUFF,EVO_ITEM,ITEM_MOON_STONE,"+20 to def, spdef, +13 to atk"
Zubat,ZUBAT,40,45,35,55,30,40,245,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,GOLBAT,EVO_LEVEL,22,
Meowth,MEOWTH,40,45,35,90,40,40,290,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,PERSIAN,EVO_LEVEL,28,+10 to atk
Seel,SEEL,65,45,55,45,45,70,325,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,DEWGONG,EVO_LEVEL,34,
Onix,ONIX,35,45,160,70,30,45,385,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_FAST,STEELIX,EVO_ITEM,ITEM_METAL_COAT,
Staryu,STARYU,30,45,55,85,70,55,340,TYPE_WATER,TYPE_WATER,GROWTH_SLOW,STARMIE,EVO_ITEM,ITEM_WATER_STONE,
Mr. Mime,MR_MIME,40,45,65,90,100,120,460,TYPE_PSYCHIC,TYPE_FAIRY,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Azurill,AZURILL,50,45,60,20,40,60,275,TYPE_NORMAL,TYPE_FAIRY,GROWTH_FAST,MARILL,EVO_FRIENDSHIP,0,
Skiploom,SKIPLOOM,55,45,50,80,45,65,340,TYPE_GRASS,TYPE_FLYING,GROWTH_MEDIUM_SLOW,JUMPLUFF,EVO_LEVEL,27,
Wooper,WOOPER,55,45,45,15,35,35,230,TYPE_WATER,TYPE_GROUND,GROWTH_MEDIUM_FAST,QUAGSIRE,EVO_LEVEL,20,"+20 to spattack and spdef, +15 to atk and def"
Wooper,WOOPER_PALDEA,55,45,45,15,35,35,230,TYPE_POISON,TYPE_GROUND,GROWTH_MEDIUM_FAST,CLODSIRE,EVO_LEVEL,20,"+20 to spattack and spdef, +15 to atk and def"
Treecko,TREECKO,40,45,35,70,65,55,310,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,GROVYLE,EVO_LEVEL,16,
Wurmple,WURMPLE,45,45,35,20,20,35,200,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,SILCOON,EVO_LEVEL_SILCOON,7,
Wurmple,WURMPLE,45,45,35,20,20,35,200,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,CASCOON,EVO_LEVEL_CASCOON,7,
Seedot,SEEDOT,40,45,55,30,30,40,240,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,NUZLEAF,EVO_LEVEL,14,"+10 to HP, +5 to everything else"
Shroomish,SHROOMISH,60,45,60,35,40,60,300,TYPE_GRASS,TYPE_GRASS,GROWTH_FLUCTUATING,BRELOOM,EVO_LEVEL,23,
Nincada,NINCADA,35,45,90,40,30,35,275,TYPE_BUG,TYPE_GROUND,GROWTH_ERRATIC,NINJASK,EVO_LEVEL_NINJASK,20,"+5 to spdef, +5 to spatk, +10 to atk, +5 to HP"
Nincada,NINCADA,35,45,90,40,30,35,275,TYPE_BUG,TYPE_GROUND,GROWTH_ERRATIC,SHEDINJA,EVO_LEVEL_SHEDINJA,20,"+5 to spdef, +5 to spatk, +10 to atk, +5 to HP"
Nosepass,NOSEPASS,30,45,135,30,45,90,375,TYPE_ROCK,TYPE_ROCK,GROWTH_MEDIUM_FAST,PROBOPASS,EVO_MAPSEC,MAPSEC_NEW_MAUVILLE,
Nosepass,NOSEPASS,30,45,135,30,45,90,375,TYPE_ROCK,TYPE_ROCK,GROWTH_MEDIUM_FAST,PROBOPASS,EVO_ITEM,ITEM_THUNDER_STONE,
Skitty,SKITTY,50,45,45,55,40,40,275,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,DELCATTY,EVO_ITEM,ITEM_MOON_STONE,"+10 to spatk, spdef, +5 to atk"
Grumpig,GRUMPIG,80,45,65,80,90,110,470,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_FAST,NONE,NONE,0,
Bidoof,BIDOOF,59,45,40,31,35,40,250,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,BIBAREL,EVO_LEVEL,15,
Pachirisu,PACHIRISU,60,45,70,95,45,90,405,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Sentret,SENTRET,35,46,34,30,35,45,225,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,FURRET,EVO_LEVEL,15,"+4 to atk, +6 to def, +5 to HP, +10 spdef"
Nidoran♀,NIDORAN_F,55,47,52,41,40,40,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDORINA,EVO_LEVEL,16,
Illumise,ILLUMISE,65,47,55,85,73,75,400,TYPE_BUG,TYPE_BUG,GROWTH_FLUCTUATING,NONE,NONE,0,
Squirtle,SQUIRTLE,44,48,65,43,50,64,314,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,WARTORTLE,EVO_LEVEL,16,
Drowzee,DROWZEE,60,48,45,42,43,90,328,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,HYPNO,EVO_LEVEL,26,
Ditto,DITTO,48,48,48,48,48,48,288,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0,+2 to every stat
Shellos,SHELLOS_WEST,76,48,48,34,57,62,325,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,GASTRODON_WEST,EVO_LEVEL,30,
Shellos,SHELLOS_EAST,76,48,48,34,57,62,325,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,GASTRODON_EAST,EVO_LEVEL,30,
Bulbasaur,BULBASAUR,45,49,49,45,65,65,318,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,IVYSAUR,EVO_LEVEL,16,
Chikorita,CHIKORITA,45,49,65,45,49,65,318,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,BAYLEEF,EVO_LEVEL,16,
Finneon,FINNEON,49,49,56,66,49,61,330,TYPE_WATER,TYPE_WATER,GROWTH_ERRATIC,LUMINEON,EVO_LEVEL,31,
Oddish,ODDISH,45,50,55,30,75,65,320,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,GLOOM,EVO_LEVEL,21,
Poliwag,POLIWAG,40,50,40,90,40,40,300,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLIWHIRL,EVO_LEVEL,25,
Alakazam,ALAKAZAM,55,50,45,120,135,0,405,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,NONE,NONE,0,
Haunter,HAUNTER,45,50,45,95,115,55,405,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_LEVEL,42,
Haunter,HAUNTER,45,50,45,95,115,55,405,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_ITEM,ITEM_LINKING_CORD,
Electrode,ELECTRODE,60,50,70,140,80,80,480,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Electrode,ELECTRODE_HISUI,60,50,70,140,80,80,480,TYPE_ELECTRIC,TYPE_GRASS,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Cubone,CUBONE,50,50,95,35,40,50,320,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,MAROWAK,EVO_LEVEL,28,
Cubone,CUBONE,50,50,95,35,40,50,320,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,MAROWAK_ALOLA,EVO_NONE,0,
Cubone,CUBONE,50,50,95,35,40,50,320,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,MAROWAK_ALOLA_TOTEM,EVO_NONE,0,
Jynx,JYNX,65,50,35,95,115,95,455,TYPE_ICE,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Noctowl,NOCTOWL,100,50,50,70,76,96,442,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Togekiss,TOGEKISS,85,50,95,80,120,115,545,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,
Natu,NATU,40,50,45,70,70,45,320,TYPE_PSYCHIC,TYPE_FLYING,GROWTH_MEDIUM_FAST,XATU,EVO_LEVEL,25,
Azumarill,AZUMARILL,100,50,80,50,50,80,410,TYPE_WATER,TYPE_FAIRY,GROWTH_FAST,NONE,NONE,0,"+15 to atk, +15 to spatk, +20 to def and spdef, +10 to hp"
Magcargo,MAGCARGO,50,50,120,30,80,80,410,TYPE_FIRE,TYPE_ROCK,GROWTH_MEDIUM_FAST,NONE,NONE,0,"+20 to spdef, +10 to atk, +10 to spatk"
Dustox,DUSTOX,60,50,70,65,50,90,385,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Lombre,LOMBRE,60,50,50,50,60,70,340,TYPE_WATER,TYPE_GRASS,GROWTH_MEDIUM_SLOW,LUDICOLO,EVO_ITEM,ITEM_WATER_STONE,
Pelipper,PELIPPER,60,50,100,65,85,70,430,TYPE_WATER,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,"+10 atk, +10 hp"
Electrike,ELECTRIKE,40,50,40,65,65,40,300,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_SLOW,MANECTRIC,EVO_LEVEL,26,
Plusle,PLUSLE,60,50,40,95,85,75,405,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Barboach,BARBOACH,50,50,45,60,50,45,300,TYPE_WATER,TYPE_GROUND,GROWTH_MEDIUM_FAST,WHISCASH,EVO_LEVEL,30,
Chimecho,CHIMECHO,65,50,70,65,95,80,425,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_FAST,NONE,NONE,0,"+10 to HP, def, spdef"
Snorunt,SNORUNT,50,50,50,50,50,50,300,TYPE_ICE,TYPE_ICE,GROWTH_MEDIUM_FAST,GLALIE,EVO_LEVEL,42,
Snorunt,SNORUNT,50,50,50,50,50,50,300,TYPE_ICE,TYPE_ICE,GROWTH_MEDIUM_FAST,FROSLASS,EVO_ITEM_FEMALE,ITEM_DAWN_STONE,
Regice,REGICE,80,50,100,50,100,200,580,TYPE_ICE,TYPE_ICE,GROWTH_SLOW,NONE,NONE,0,
Drifloon,DRIFLOON,90,50,34,70,60,44,348,TYPE_GHOST,TYPE_FLYING,GROWTH_FLUCTUATING,DRIFBLIM,EVO_LEVEL,28,
Skorupi,SKORUPI,40,50,90,65,30,55,330,TYPE_POISON,TYPE_BUG,GROWTH_SLOW,DRAPION,EVO_LEVEL,40,
Rotom,ROTOM,50,50,77,91,95,77,440,TYPE_ELECTRIC,TYPE_GHOST,GROWTH_MEDIUM_FAST,NONE,NONE,0,
Whismur,WHISMUR,64,51,23,28,51,23,240,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_SLOW,LOUDRED,EVO_LEVEL,20,"+14 to atk, +2 def, +2 speed, +14 spatk, +2 spdef, +1 HP"
Piplup,PIPLUP,53,51,53,40,61,56,314,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,PRINPLUP,EVO_LEVEL,16,
Charmander,CHARMANDER,39,52,43,65,60,50,309,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,CHARMELEON,EVO_LEVEL,16,
Psyduck,PSYDUCK,50,52,48,55,65,50,320,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,GOLDUCK,EVO_LEVEL,33,
